fk_cuso,fk_dren,consor_nome,AGGREGATO,consor_area,inter_perma_area
"2","3",CONSORZIO IRRIGUO E MIGLIORAMENTO FONDIARIO CANALE NAVIGLIO DI BRA,"23",1569.47,21.690
"2","3",CONSORZIO IRRIGUO ROVARINO MOGLIA,"23",160.90,0.332
"2","2",EX PARTECIPANZA CANALE NAVIGLIO DI BOVES E SPINETTA,"25",1970.13,560.802
"2","2",PARTECIPANZA CANALE VERMENAGNA DI SPINETA,"25",2846.60,96.041
"2","2",CONSORZIO CANALE BEALOTTO,"25",125.70,64.439
"2","4",PASCOMONTI,"26",248.57,25.620
"3","2",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO 'BOSCO SPECIALE',"24",880.77,0.003
"3","2",PARTECIPANZA CANALE VERMENAGNA DI SPINETA,"25",2846.60,3.630
"3","3",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO 'BOSCO SPECIALE',"24",880.77,43.433
"3","3",CONSORZIO IRRIGUO DI CASTELLETTO STURA,"24",787.40,106.891
"3","3",PARTECIPANZA CANALE VERMENAGNA DI SPINETA,"25",2846.60,502.432
"3","3",CONSORZIO CANALI LUPA - LUPOTTO - DOLCE & RESIGA,"25",292.40,3.347
"3","3",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,28.427
"3","4",C.I. DEL ROERO,"0",129.83,1.338
"3","2",CANALE BOLLERA,"25",67.45,15.995
"3","2",CONSORZIO IRRIGUO DI CASTELLETTO STURA,"24",787.40,0.120
"3","2",CANALE GARAVELLA INFERIORE,"25",458.13,218.962
"3","2",PARTECIPANZA CANALE VERMENAGNA DI SPINETA,"25",2846.60,1268.189
"3","2",CONSORZIO CANALI LUPA - LUPOTTO - DOLCE & RESIGA,"25",292.40,93.204
"3","2",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,112.731
"5","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,27.200
"4","1",CONSORZIO IRRIGUO POZZO SANTO STEFANO,"21",135.66,0.142
"4","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,7.956
"4","2",CONSORZIO IRRIGUO BEALERE INTERNE (LEQUIO TANARO),"24",548.23,119.797
"4","2",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,52.197
"4","2",CONSORZIO DEL MOLINO DI NARZOLE,"0",40.13,2.198
"4","2",CONSORZIO IRRIGUO COLLINA COSTIGLIOLESE,"15",253.97,4.655
"4","2",CONSORZIO IRRIGUO PILONE SAN GIOVANNI,"15",260.93,30.396
"4","2",CONSORZIO IRRIGUO TORRENTE VARAITA,"15",361.92,41.758
"4","2",CONSORZIO IRRIGUO SAN BERNARDO DI VENASCA,"15",132.04,0.425
"4","2",CONSORZIO IRRIGUO VENASCA BROSSASCO ROSSANA,"15",142.30,18.168
"4","2",CONSORZIO IRRIGUO CHIAMINA,"15",67.49,0.013
"4","2",CONSORZIO IRRIGUO COSTIGLIOLE DI SALUZZO,"15",792.65,105.332
"4","2",CONSORZIO IRRIGUO VERZUOLO EST,"15",1189.25,16.464
"3","2",CONSORZIO IRRIGUO GERBIDI DI S.GRATO,"14",50.03,27.921
"3","2",CONSORZIO IRRIGUO MADONNA DELLA NEVE,"14",115.20,0.582
"3","2",CONSORZIO IRRIGUO GEROLAMO,"14",69.65,21.052
"3","2",CONSORZIO IRRIGIUO SANT'ANNA,"12",154.47,66.745
"3","2",CONSORZIO IRRIGUO SAN GREGORIO CURSAGLIE,"12",105.33,78.646
"3","2",CONSORZIO IRRIGUO DI SAN GRATO,"14",371.12,245.417
"3","2",CONSORZIO IRRIGUO GASPARINO O CAPPELLA NUOVA,"14",102.40,86.554
"3","2",CONSORZIO IRRIGUO DI BIBIANA,"12",747.18,500.260
"3","2",CONSORZIO IRRIGUO BEDALE DI CAVOUR,"12",2042.24,377.739
"3","2",CONSORZIO IRRIGUO CHIAMOGNA DEL BOSCO,"12",799.86,185.722
"2","4",C.I. LAIONE ACQUE,"30",245.50,45.284
"3","3",CONSORZIO IRRIGUO TETTI PONTE-BEDALE,"19",265.02,0.001
"3","3",CONSORZIO IRRIGUO CARTIGNANESE,"19",145.99,5.796
"1","3",CONSORZIO IRRIGUO BEALERE INTERNE (LEQUIO TANARO),"24",548.23,34.978
"1","3",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,150.531
"2","3",C.I. LAIONE ACQUE,"30",245.50,13.149
"4","2",CONSORZIO IRRIGUO CANALE CEAGLIA,"19",818.30,9.431
"6","1",CONSORZIO IRRIGUO CANALE CEAGLIA,"19",818.30,12.271
"5","1",CONSORZIO IRRIGUO PRATI DELL'URBANETTO,"23",45.76,0.015
"3","3",COMUNE DI VILLAR SAN COSTANZO-CANALE COMELLA,"19",505.48,0.565
"3","3",CONSORZIO IRRIGUO CANALE CEAGLIA,"19",818.30,131.919
"3","1",CONSORZIO IRRIGUO CANALE ATTISSANO,"18",791.18,7.478
"3","1",CONSORZIO IRRIGUO CANALE CEAGLIA,"19",818.30,47.853
"3","2",CONSORZIO IRRIGUO BEDARELLO,"15",771.39,0.331
"3","2",CONSORZIO IRRIGUO SANT'EUSEBIO E MORINE DI SALUZZO,"15",807.04,78.415
"3","4",CONSORZIO IRRIGUO SAN LORENZO,"23",164.67,0.001
"3","4",CONSORZIO IRRIGUO POZZO SAN BERNARDO,"23",102.65,7.590
"1","3",CONSORZIO IRRIGUO BEALERE INTERNE (LEQUIO TANARO),"24",548.23,31.385
"1","3",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,1.159
"2","2",CONSORZIO PIOVANI IRRIGAZIONE AGGREGATA,"20",1571.61,22.244
"3","2",CONSORZIO IRRIGUO VALENTINO,"21",23.35,21.415
"3","2",CONSORZIO IRRIGUO POZZO TETTO NUOVO,"21",189.78,123.279
"3","2",CONSORZIO IRRIGUO CASCINA NUOVA,"21",60.88,39.867
"3","2",CONSORZO IRRIGUO CANALE INFERNOTTO-ROGGIA ROELLA E MOLINO DELLA VILLA,"20",611.11,43.628
"3","2",CONSORZIO IRRIGUO VIA MEZZANA,"20",76.53,66.952
"3","2",CONSORZIO IRRIGUO PILONE TEALDI,"21",88.61,74.602
"3","2",CONSORZIO IRRIGUO POZZO S.GIUSEPPE,"21",145.56,17.305
"3","2",CONSORZIO IRRIGUO TETTO BIANCO,"21",21.11,14.550
"3","2",CONSORZIO IRRIGUO RIVE DI STURA,"21",221.45,26.075
"3","2",CONSORZIO IRRIGUO POZZO DELFINA,"21",274.74,108.606
"3","2",CONSORZIO IRRIGUO FONTANILE PREPOSITURA,"20",823.63,6.268
"3","2",CONSORZIO IRRIGUO TETTO MARTINO,"21",146.20,146.126
"3","2",CONSORZIO IRRIGUO CENTRIFUGA DI ROATA CHIUSANI,"21",344.11,39.259
"3","2",CONSORZIO PIOVANI IRRIGAZIONE AGGREGATA,"20",1571.61,741.967
"3","2",CONSORZIO IRRIGUO MELLEA SAMBOIRA,"20",683.95,192.558
"3","2",PARTECIPANZA CANALE RONCHI MIGLIA,"21",1810.43,150.904
"3","2",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,225.829
"3","2",CONSORZIO DELLA BEALERA NUOVA,"21",841.84,485.529
"3","2",CONSORZIO IRRIGUO POZZO SAN MARTINO,"20",102.09,80.724
"2","4",CONSORZIO IRRIGUO CANALE SARMASSA,"24",3478.20,64.093
"2","4",CONSORZIO IRRIGUO NUCLEO TETTI SPERTINI,"16",155.85,6.461
"3","5",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,30.498
"3","5",CONSORZIO IRRIGUO CANALE SARMASSA,"24",3478.20,6.425
"4","2",CONSORZIO IRRIGUO BEALERE INTERNE (LEQUIO TANARO),"24",548.23,5.502
"4","2",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,4.937
"1","3",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,0.626
"3","3",COMUNE DI BENE VAGIENNA GESTIONE SPECIALE BEALERE INTERNE,"24",2240.70,5.404
"3","1",CONSORZIO IRRIGUO PRATI DELL'URBANETTO,"23",45.76,23.135
"3","3",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,5.029
"2","2",CONSORZIO IRRIGUO GALLEANE,"14",263.87,8.756
"2","2",CONSORZIO IRRIGUO GORRETTE,"14",141.58,3.407
"4","4",CONSORZIO IRRIGUO INFERNOTTO SAN MAURIZIO E VILLAR,"14",55.51,18.035
"4","4",CONSORZIO IRRIGUO BEALERA LISSARDA,"14",526.13,4.128
"2","3",CONSORZIO IRRIGUO COLLINA VERZUOLESE,"15",417.14,16.149
"2","3",CONSORZIO IRRIGUO FALICETTO NORD,"15",415.31,0.536
"2","3",CONSORZIO IRRIGUO IL PARCO,"15",109.80,0.048
"2","3",CONSORZIO DI IRRIGAZIONE DEL GALLINO,"29",72.21,25.689
"3","4",CONSORZIO IRRIGUO IL PEPERONE,"30",228.25,5.050
"4","2",CONSORZIO IRRIGUO BEALERA S.BERNARDO,"14",52.15,2.103
"4","2",CONSORZIO IRRIGUO ROSSANO,"14",307.88,0.008
"6","2",CONSORZIO IRRIGUO INFERNOTTO SAN MAURIZIO E VILLAR,"14",55.51,0.157
"2","3",CONSORZIO IRRIGUO IL PEPERONE,"30",228.25,11.847
"2","4",CONSORZIO IRRIGUO CHIAPPETTI,"14",135.47,0.041
"2","4",CONSORZIO IRRIGUO GORRETTE,"14",141.58,0.406
"3","4",CONSORZIO IRRIGUO DI BIBIANA,"12",747.18,0.038
"3","5",CONSORZIO IRRIGUO DI BIBIANA,"12",747.18,73.153
"4","1",CONSORZIO IRRIGUO POZZO SANTO STEFANO,"21",135.66,0.469
"4","1",CONSORZIO IRRIGUO PRATI DELL'URBANETTO,"23",45.76,3.255
"4","1",CONSORZIO DELLA BEALERA LEONA,"21",1568.90,0.982
"6","3",CONSORZIO IDRICO DELLA TAGLIATA,"23",82.56,0.032
"6","3",CONSORZIO DI IRRIGAZIONE PIANA DELLA TAGLIATA,"23",76.31,0.767
"6","3",CONSORZIO DI IRRIGAZIONE NUOVO COLLINA E TAGLIATA,"23",470.19,21.386
"6","3",CONSORZIO IRRIGUO SANTA LUCIA,"23",179.97,0.061
"6","3",CONSORZIO IRRIGUO PRATI DELL'URBANETTO,"23",45.76,6.304
"6","3",CONSORZIO IRRIGUO ROVERE BOSCHETTI,"23",184.55,4.699
"6","3",CONSORZIO IRRIGUO NAVIGLIO PERTUSATA DI CERVERE,"23",1001.52,19.470
